orderId,storeId,orderDate,shipDate,shipMode,customerId,segment,managerId,productId,salePrice,quantity,discount,profit
CA-2016-152156,STO-68D97E,2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,EMP-2016-152047,FUR-BO-10001798,261.96,2,0.0,41.9136
CA-2016-152156,STO-68D97E,2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,EMP-2016-152047,FUR-CH-10000454,731.9399999999999,3,0.0,219.582
CA-2016-138688,STO-4D7F2D,2016-06-12,2016-06-16,Second Class,DV-13045,Corporate,EMP-2016-151713,OFF-LA-10000240,14.62,2,0.0,6.8714
US-2015-108966,STO-34EECC,2015-10-11,2015-10-18,Standard Class,SO-20335,Consumer,EMP-2016-151403,FUR-TA-10000577,957.5775,5,0.45,-383.0310000000001
US-2015-108966,STO-34EECC,2015-10-11,2015-10-18,Standard Class,SO-20335,Consumer,EMP-2016-151403,OFF-ST-10000760,22.368,2,0.2,2.516399999999999
CA-2014-115812,STO-9DE8DB,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,EMP-2016-151713,FUR-FU-10001487,48.86,7,0.0,14.1694
CA-2014-115812,STO-9DE8DB,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,EMP-2016-151713,OFF-AR-10002833,7.28,4,0.0,1.9656
CA-2014-115812,STO-9DE8DB,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,EMP-2016-151713,TEC-PH-10002275,907.152,6,0.2,90.71520000000004
CA-2014-115812,STO-9DE8DB,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,EMP-2016-151713,OFF-BI-10003910,18.504,3,0.2,5.7825
CA-2014-115812,STO-9DE8DB,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,EMP-2016-151713,OFF-AP-10002892,114.9,5,0.0,34.46999999999999
CA-2014-115812,STO-9DE8DB,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,EMP-2016-151713,FUR-TA-10001539,1706.184,9,0.2,85.3091999999998
CA-2014-115812,STO-9DE8DB,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,EMP-2016-151713,TEC-PH-10002033,911.424,4,0.2,68.35680000000002
CA-2017-114412,STO-11A9B7,2017-04-15,2017-04-20,Standard Class,AA-10480,Consumer,EMP-2016-151337,OFF-PA-10002365,15.552,3,0.2,5.4432
CA-2016-161389,STO-EF96DA,2016-12-05,2016-12-10,Standard Class,IM-15070,Consumer,EMP-2016-151166,OFF-BI-10003656,407.9760000000001,3,0.2,132.5921999999999
US-2015-118983,STO-9D7222,2015-11-22,2015-11-26,Standard Class,HP-14815,Home Office,EMP-2016-151194,OFF-AP-10002311,68.80999999999999,5,0.8,-123.858
US-2015-118983,STO-9D7222,2015-11-22,2015-11-26,Standard Class,HP-14815,Home Office,EMP-2016-151194,OFF-BI-10000756,2.544,3,0.8,-3.816000000000002
CA-2014-105893,STO-3853C8,2014-11-11,2014-11-18,Standard Class,PK-19075,Consumer,EMP-2016-151993,OFF-ST-10004186,665.88,6,0.0,13.3176
CA-2014-167164,STO-B2A0AC,2014-05-13,2014-05-15,Second Class,AG-10270,Consumer,EMP-2016-152038,OFF-ST-10000107,55.5,2,0.0,9.989999999999995
CA-2014-143336,STO-8E9979,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,EMP-2016-151713,OFF-AR-10003056,8.56,2,0.0,2.482399999999999
CA-2014-143336,STO-8E9979,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,EMP-2016-151713,TEC-PH-10001949,213.48,3,0.2,16.01099999999998
CA-2014-143336,STO-8E9979,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,EMP-2016-151713,OFF-BI-10002215,22.72,4,0.2,7.383999999999999
CA-2016-137330,STO-F0AC2B,2016-12-09,2016-12-13,Standard Class,KB-16585,Corporate,EMP-2016-151121,OFF-AR-10000246,19.46,7,0.0,5.0596
CA-2016-137330,STO-F0AC2B,2016-12-09,2016-12-13,Standard Class,KB-16585,Corporate,EMP-2016-151121,OFF-AP-10001492,60.34,7,0.0,15.6884
US-2017-156909,STO-81EACE,2017-07-16,2017-07-18,Second Class,SF-20065,Consumer,EMP-2016-151469,FUR-CH-10002774,71.37199999999999,2,0.3,-1.019600000000001
CA-2015-106320,STO-3A1037,2015-09-25,2015-09-30,Standard Class,EB-13870,Consumer,EMP-2016-152038,FUR-TA-10000577,1044.63,3,0.0,240.2649
CA-2016-121755,STO-C8ED37,2016-01-16,2016-01-20,Second Class,EH-13945,Consumer,EMP-2016-151713,OFF-BI-10001634,11.648,2,0.2,4.2224
CA-2016-121755,STO-C8ED37,2016-01-16,2016-01-20,Second Class,EH-13945,Consumer,EMP-2016-151713,TEC-AC-10003027,90.57000000000001,3,0.0,11.7741
US-2015-150630,STO-81EACE,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,EMP-2016-151469,FUR-BO-10004834,3083.43,7,0.5,-1665.0522
US-2015-150630,STO-81EACE,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,EMP-2016-151469,OFF-BI-10000474,9.618000000000002,2,0.7,-7.0532
US-2015-150630,STO-81EACE,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,EMP-2016-151469,FUR-FU-10004848,124.2,3,0.2,15.52499999999999
US-2015-150630,STO-81EACE,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,EMP-2016-151469,OFF-EN-10001509,3.264,2,0.2,1.1016
US-2015-150630,STO-81EACE,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,EMP-2016-151469,OFF-AR-10004042,86.304,6,0.2,9.709199999999989
US-2015-150630,STO-81EACE,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,EMP-2016-151469,OFF-BI-10001525,6.858000000000001,6,0.7,-5.715
US-2015-150630,STO-81EACE,2015-09-17,2015-09-21,Standard Class,TB-21520,Consumer,EMP-2016-151469,OFF-AR-10001683,15.76,2,0.2,3.546000000000001
CA-2017-107727,STO-DC5DFE,2017-10-19,2017-10-23,Second Class,MA-17560,Home Office,EMP-2016-151194,OFF-PA-10000249,29.472,3,0.2,9.946799999999998
CA-2016-117590,STO-D07031,2016-12-08,2016-12-10,First Class,GH-14485,Corporate,EMP-2016-151194,TEC-PH-10004977,1097.544,7,0.2,123.4736999999999
CA-2016-117590,STO-D07031,2016-12-08,2016-12-10,First Class,GH-14485,Corporate,EMP-2016-151194,FUR-FU-10003664,190.92,5,0.6,-147.963
CA-2015-117415,STO-47CA36,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,EMP-2016-151194,OFF-EN-10002986,113.328,9,0.2,35.415
CA-2015-117415,STO-47CA36,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,EMP-2016-151194,FUR-BO-10002545,532.3992,3,0.32,-46.97640000000001
CA-2015-117415,STO-47CA36,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,EMP-2016-151194,FUR-CH-10004218,212.058,3,0.3,-15.14699999999999
CA-2015-117415,STO-47CA36,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,EMP-2016-151194,TEC-PH-10000486,371.168,4,0.2,41.75639999999996
CA-2017-120999,STO-8B7372,2017-09-10,2017-09-15,Standard Class,LC-16930,Corporate,EMP-2016-151606,TEC-PH-10004093,147.168,4,0.2,16.5564
CA-2016-101343,STO-C8ED37,2016-07-17,2016-07-22,Standard Class,RA-19885,Corporate,EMP-2016-151713,OFF-ST-10003479,77.88,2,0.0,3.893999999999991
CA-2017-139619,STO-6B34B5,2017-09-19,2017-09-23,Standard Class,ES-14080,Corporate,EMP-2016-151403,OFF-ST-10003282,95.616,2,0.2,9.56160000000001
CA-2016-118255,STO-5A878B,2016-03-11,2016-03-13,First Class,ON-18715,Corporate,EMP-2016-151522,TEC-AC-10000171,45.98,2,0.0,19.7714
CA-2016-118255,STO-5A878B,2016-03-11,2016-03-13,First Class,ON-18715,Corporate,EMP-2016-151522,OFF-BI-10003291,17.46,2,0.0,8.206199999999999
